"","ST","clustersize","lastresistantparent","CLusterSurvivalTime"
"99","95",1,"997",1
"100","95",1,"998",1
"101","95",1,"1001",1
"102","390",1,"1008",1
"103","416",1,"1010",1
"104","95",1,"1012",1
"105","140",1,"1018",1
"106","5644",1,"1024",1
"107","12",1,"1027",1
"108","544",1,"1030",1
"109","12",1,"1033",1
"110","12",1,"1038",1
"111","12",1,"1043",1
"112","10231",1,"1044",1
"113","12",1,"1048",1
"114","12",1,"1051",1
"115","12",1,"1063",1
"116","12",1,"1066",1
"117","12",1,"1092",1
"118","12",1,"1104",1
"119","12",1,"1106",1
"120","12",1,"1108",1
"121","12",1,"1126",1
"122","12",1,"1133",1
"123","12",1,"1135",1
"124","12",1,"1136",1
"125","12",1,"1150",1
"126","12",1,"1170",1
"127","12",1,"1179",1
"128","127",1,"1186",1
"129","10285",1,"1193",1
"130","127",1,"1197",1
"131","127",1,"1204",1
"132","127",1,"1218",1
"133","127",1,"1222",1
"134","127",1,"1226",1
"135","127",1,"1231",1
"136","127",1,"1233",1
"137","127",1,"1256",1
"138","127",1,"1260",1
"139","127",1,"1280",1
"140","127",1,"1295",1
"141","127",1,"1300",1
"142","127",1,"1302",1
"143","127",1,"1303",1
"144","372",1,"1342",1
"145","372",1,"1359",1
"146","1057",1,"1398",1
"147","1057",1,"1404",1
"148","14",1,"1425",1
"149","14",1,"1432",1
"150","404",1,"1447",1
"151","404",1,"1449",1
"152","550",1,"1469",1
"153","550",1,"1472",1
"154","550",1,"1495",1
"155","550",1,"1502",1
"156","80",1,"1513",1
"157","80",1,"1520",1
"158","80",1,"1521",1
"159","80",1,"1527",1
"160","80",1,"1545",1
"161","80",1,"1549",1
"162","144",1,"1571",1
"163","144",1,"1573",1
"164","144",1,"1575",1
"165","144",1,"1579",1
"166","144",1,"1589",1
"167","144",1,"1593",1
"168","10279",1,"1599",1
"169","1859",1,"1600",1
"170","420",1,"1604",1
"171","1441",1,"1614",1
"172","978",1,"1620",1
"173","104",1,"1631",1
"174","104",1,"1638",1
"175","104",1,"1640",1
"176","73",1,"1657",1
"177","73",1,"1659",1
"178","73",1,"1700",1
"179","73",1,"1752",1
"180","10402",1,"1771",1
"181","73",1,"1792",1
"182","73",1,"1797",1
"183","73",1,"1800",1
"184","73",1,"1820",1
"185","73",1,"1821",1
"186","73",1,"1832",1
"187","73",1,"1841",1
"188","73",1,"1843",1
"189","73",1,"1854",1
"190","73",1,"1856",1
"191","73",1,"1890",1
"192","73",1,"1891",1
"193","73",1,"1898",1
"194","73",1,"1901",1
"195","73",1,"1906",1
"196","73",1,"1920",1
"197","73",1,"1928",1
"198","10251",1,"1933",1
"199","73",1,"1938",1
"200","73",1,"1940",1
"201","73",1,"1941",1
"202","73",1,"1967",1
"203","73",1,"1968",1
"204","73",1,"1971",1
"205","73",1,"2012",1
"206","73",1,"2016",1
"207","73",1,"2037",1
"208","73",1,"2040",1
"209","73",1,"2067",1
"210","73",1,"2068",1
"211","73",1,"2069",1
"212","73",1,"2079",1
"213","73",1,"2083",1
"214","73",1,"2095",1
"215","73",1,"2098",1
"216","73",1,"2099",1
"217","73",1,"2107",1
"218","73",1,"2109",1
"219","73",1,"2114",1
